"Timestamp","Platformer / Runner Games","Sports & Competitive","Fighting & Ragdoll Action","Driving & Stunt Games","Puzzle & Casual Games","Clicker & Idle Games","Strategy & Tower Defense","Rhythm Games","Horror Games"
"2025/12/11 1:44:23 pm GMT","Geometry Dash Wave","Tap Goal","GunSpin","Wheelie Bike","BitLife","Duck Duck Clicker","Thorns and Balloons","A Dance of Fire and Ice","Five Nights at Freddy's 1"
"2025/12/11 2:20:45 pm GMT","Geometry Dash 3D","A Small World Cup","Ragdoll Hit","Drive Mad","Roper","Tiny Fishing [NEW]","Thorns and Balloons","A Dance of Fire and Ice","Five Nights at Freddy's 2"
"2025/12/12 11:40:10 am GMT","Fast Runner","A Small World Cup","Ragdoll Hit","Crazy Crash Landing","Nut Sort","Tiny Fishing [NEW]","Paper Io 2","A Dance of Fire and Ice","Five Nights at Freddy's 2"
"2025/12/12 1:34:32 pm GMT","Fast Runner","Penalty Kick Online","Boxing Random","Wheelie Bike","BitLife","Tiny Fishing [OLD]","Plants Vs Zombies","A Dance of Fire and Ice","Five Nights at Freddy's 1"
"2025/12/13 1:53:00 pm GMT","Fast Runner","A Small World Cup","Boxing Random","Adventure Drivers","BitLife","Duck Duck Clicker","Bloons Tower Defense 5","A Dance of Fire and Ice","Five Nights at Freddy's 2"
"2025/12/14 10:29:39 am GMT","Subway Surfers","Basket Random","Ragdoll Hit","Drift Boss","BitLife","Duck Duck Clicker","Paper Io 2","A Dance of Fire and Ice","Five Nights at Freddy's 1"
"2025/12/15 7:56:03 pm GMT","Geometry Dash Wave","A Small World Cup","Ragdoll Hit","Adventure Drivers","BitLife","Tiny Fishing [NEW]","Plants Vs Zombies","A Dance of Fire and Ice","Five Nights at Freddy's 1"
"2025/12/15 10:00:57 pm GMT","Geometry Dash Wave","Penalty Kick Online","GunSpin","Wheelie Bike","BitLife","Tiny Fishing [NEW]","Thorns and Balloons","A Dance of Fire and Ice",""
"2025/12/16 1:03:33 pm GMT","OvO","Darts Pro","Ragdoll Archers","Crazy Crash Landing","BitLife","Tiny Fishing [OLD]","Bloons Tower Defense 5","A Dance of Fire and Ice","Five Nights at Freddy's 3"
"2025/12/16 6:29:18 pm GMT","Flappy Bird","Penalty Kick Online","Ragdoll Hit","X3M Winter","Block Blast","Tiny Fishing [NEW]","Paper Io 2","A Dance of Fire and Ice","Five Nights at Freddy's 3"
"2025/12/16 9:10:21 pm GMT","Geometry Dash Wave","A Small World Cup","GunSpin","Wheelie Bike","Block Blast","Duck Duck Clicker","Paper Io 2","A Dance of Fire and Ice","Five Nights at Freddy's 3"
"2025/12/17 7:21:51 am GMT","Geometry Dash Wave","A Small World Cup","GunSpin","X3M Winter","BitLife","Tiny Fishing [NEW]","Bloons Tower Defense 5","A Dance of Fire and Ice",""
"2025/12/17 10:25:57 am GMT","Fast Runner","A Small World Cup","Ragdoll Archers","Moto X3M 2","Nut Sort","Tiny Fishing [NEW]","Thorns and Balloons","A Dance of Fire and Ice","Five Nights at Freddy's 3"
"2025/12/18 2:24:31 pm GMT","Fast Runner","A Small World Cup","Boxing Random","Adventure Drivers","Gobble","Tiny Fishing [NEW]","Thorns and Balloons","A Dance of Fire and Ice","Five Nights at Freddy's 1"
"2025/12/18 10:24:28 pm GMT","Geometry Dash Wave","A Small World Cup","Ragdoll Hit","Crazy Crash Landing","Slice Master","Tiny Fishing [NEW]","Paper Io 2","A Dance of Fire and Ice","Five Nights at Freddy's 2"
"2025/12/19 9:37:37 am GMT","Geometry Dash 3D","A Small World Cup","GunSpin","Adventure Drivers","BitLife","Duck Duck Clicker","Bloons Tower Defense 5","A Dance of Fire and Ice","Five Nights at Freddy's 1"
"2025/12/19 11:45:07 am GMT","Fast Runner","A Small World Cup","Ragdoll Hit","X3M Winter","BitLife","Capybara Clicker","Plants Vs Zombies","A Dance of Fire and Ice","Five Nights at Freddy's 2"
"2025/12/19 11:26:07 pm GMT","Subway Surfers","Volley Random","GunSpin","Drive Mad","Block Blast","Duck Duck Clicker","Paper Io 2","A Dance of Fire and Ice","Five Nights at Freddy's 2"
"2025/12/21 9:20:32 am GMT","Fast Runner","A Small World Cup","Boxing Random","X3M Winter","Roper","Tiny Fishing [OLD]","Plants Vs Zombies","A Dance of Fire and Ice","Five Nights at Freddy's 1"
"2025/12/21 12:22:40 pm GMT","Subway Surfers","A Small World Cup","Ragdoll Hit","X3M Winter","There is No Game","Tiny Fishing [NEW]","Plants Vs Zombies","A Dance of Fire and Ice","Five Nights at Freddy's 1"
"2025/12/21 9:29:02 pm GMT","Fast Runner","Penalty Kick Online","Ragdoll Hit","Drift Boss","BitLife","Tiny Fishing [NEW]","Plants Vs Zombies","A Dance of Fire and Ice","Five Nights at Freddy's 3"
"2025/12/24 11:45:41 pm GMT","Survival Race","A Small World Cup","Ragdoll Hit","Moto X3M 2","BitLife","Tiny Fishing [NEW]","Thorns and Balloons","A Dance of Fire and Ice","Five Nights at Freddy's 2"
"2025/12/28 2:22:16 am GMT","Fast Runner","A Small World Cup","Boxing Random","X3M Winter","Roper","Tiny Fishing [OLD]","Plants Vs Zombies","A Dance of Fire and Ice","Five Nights at Freddy's 1"
